,cellID,freq,impedance,phase
0,2023_01_04_cell_1,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[1.09699800e+08 1.34585098e+08 1.34708091e+08 ... 4.96869406e+06
 5.32399479e+06 5.16676605e+06]","[-0.09286656 -0.01942002  0.02914026 ... -1.83735023 -1.81222721
 -1.88045971]"
1,2023_01_04_cell_2,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[1.31093950e+08 1.24088535e+08 1.39467927e+08 ... 1.15835752e+07
 1.13101314e+07 1.18456522e+07]","[-0.10877184 -0.14252435 -0.06659335 ... -1.45989271 -1.42932973
 -1.46687883]"
2,2023_01_04_cell_3,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[1.39588758e+08 1.37033199e+08 1.33374210e+08 ... 6.51208715e+06
 6.76909723e+06 6.64629661e+06]","[-0.00892381 -0.06340251 -0.12097986 ... -1.97807423 -1.92223986
 -1.97314182]"
3,2023_01_04_cell_4,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[1.52784008e+08 1.60762415e+08 1.52995005e+08 ... 7.27824523e+06
 7.57648528e+06 7.88855687e+06]","[ 0.20657305  0.06819223  0.03148885 ... -1.86634554 -1.81797968
 -1.8727325 ]"
4,2023_01_04_cell_5,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[1.28646652e+08 1.19052609e+08 1.25845432e+08 ... 6.65772154e+06
 6.81386563e+06 6.66663488e+06]","[ 0.02944152 -0.0681962  -0.0493844  ... -1.71458693 -1.78551032
 -1.73099866]"
5,2023_01_04_cell_6,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[1.57585009e+08 1.75428401e+08 1.75001189e+08 ... 2.18488604e+07
 2.21955425e+07 2.22122051e+07]","[-0.07459403 -0.04142059 -0.07305722 ... -1.81500913 -1.81664232
 -1.8368376 ]"
6,2023_01_20_cell_2,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[1.60953357e+08 1.62091729e+08 1.61594781e+08 ... 1.74076697e+07
 1.76367880e+07 1.77167133e+07]","[ 0.00850649 -0.12055802 -0.011931   ... -1.65529344 -1.6473777
 -1.63821376]"
7,2023_01_20_cell_3,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[1.26729614e+08 1.10227309e+08 1.27431612e+08 ... 6.41337655e+06
 6.27558879e+06 6.71015948e+06]","[ 0.07968907 -0.08816342 -0.06901553 ... -1.78387323 -1.74527923
 -1.78362841]"
8,2023_01_20_cell_4,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[2.26178866e+08 2.44708974e+08 2.54916832e+08 ... 1.31963001e+07
 1.30782696e+07 1.33237076e+07]","[-0.18553947 -0.11884626 -0.20446787 ... -1.639366   -1.63707055
 -1.61162504]"
9,2023_02_13_cell_1,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[2.49367053e+08 1.83975341e+08 1.83319228e+08 ... 1.68638537e+07
 1.70324213e+07 1.68612945e+07]","[-0.6258695  -0.05959038 -0.54688671 ... -1.59962466 -1.6017975
 -1.61429479]"
10,2023_02_13_cell_2,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[1.88575003e+08 2.04920268e+08 2.22847418e+08 ... 8.64705160e+06
 9.38447954e+06 8.95174596e+06]","[ 0.0078343   0.01649045  0.07007538 ... -1.81675081 -1.80009322
 -1.82461732]"
11,2023_02_13_cell_3,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[1.09810371e+08 1.22138399e+08 1.10909294e+08 ... 7.27723597e+06
 7.77840318e+06 7.41808904e+06]","[-0.08073297  0.19987386  0.10344723 ... -1.89641738 -1.95626208
 -1.92632102]"
12,2023_02_13_cell_4,"[  0.55172414   0.62068966   0.68965517 ... 499.86206897 499.93103448
 500.        ]","[2.19674371e+08 2.37585193e+08 2.41537738e+08 ... 1.69628866e+07
 1.68536596e+07 1.64892365e+07]","[-0.11517241  0.01924467 -0.04373046 ... -1.62761963 -1.62255949
 -1.60461399]"
