,Median,10th quantile,90th quantile
Sampling rate,20000.0,20000.0,20000.0
stim_start,0.3469,0.3469,0.3469
stim_end,0.8469,0.8469,0.8469
E_rest_0,-0.08297180384397507,-0.08468567430973054,-0.07920410335063933
E_rest_m50,-0.08322510123252869,-0.08522461354732513,-0.07942627370357513
E_rest_m25,-0.08334411680698395,-0.08492432087659836,-0.07933899462223053
E_rest_150,-0.08353673836104639,-0.08578746775835124,-0.08050900037666904
E_rest_300,-0.08436434575596294,-0.08759215261459238,-0.08146336618550727
Input resistance,165129006.32971996,131158626.87737802,244135807.4950575
Cell capacitance,1.3344218576996034e-10,1.0220381799644041e-10,2.1239112495560395e-10
Time constant,0.022963072080575745,0.016646985120304596,0.026826344951318377
Equalization time,0.0006242950244593411,0.0003623610829749588,0.0008392664528212942
sagSS_m50,-0.08826355636119843,-0.09420227259397507,-0.0872906506061554
sagV_m50,0.0017268870695242022,0.0009904881263851889,0.0032528656614845557
sagrat_m50,0.26027865878965656,0.1475441504748778,0.49156091409441993
freq_0,0.0,0.0,0.0
AP1_amp_1.5e-10,0.09769876020559283,0.07749140409826767,0.10100524344508195
APp_amp_1.5e-10,0.0774489475977447,0.06297486403813293,0.08774498360972584
AP1_time_1.5e-10,0.026300000000005982,0.017540000000003986,0.038140000000008674
APp_time_1.5e-10,0.43720578176312885,0.4031657817631211,0.45676578176313326
APavgpratio_amp_1.5e-10,0.9372954097234585,0.8953052601549086,0.9662283970055877
AP1_width_1.5e-10,0.0010000000000002275,0.000800000000000182,0.0011800000000002685
APp_width_1.5e-10,0.00110000000000025,0.0009000000000002047,0.001380000000000314
AP1_thresh_1.5e-10,-0.06356547851554467,-0.06590539697263612,-0.05918771104935508
APp_thresh_1.5e-10,-0.05699690263318629,-0.05987619298242435,-0.05138912981083936
AP1_lat_1.5e-10,0.025805781763035274,0.016925781763033255,0.0374257817630379
ISI1_1.5e-10,0.019600000000004458,0.011460000000002607,0.026960000000006132
ISIl_1.5e-10,0.036700000000008344,0.029880000000006797,0.050960000000011586
ISIavg_1.5e-10,0.027282352941182673,0.023566526315794836,0.039750909090918135
ISImedian_1.5e-10,0.028000000000006367,0.02313000000000526,0.03922000000000892
freq_1.5e-10,36.0,24.0,41.6
Adptn_id_1.5e-10,0.020870907037858887,0.014925124720252123,0.046502729804433915
fAHP_AP1_amp_1.5e-10mAHP_stimend_amp_1.5e-10,,,
sAHP_stimend_amp_1.5e-10,,,
AHP_AP1_amp_1.5e-10,,,
AHP_APp_amp_1.5e-10,,,
AHP_AP1_time_1.5e-10,,,
AHP_APp_time_1.5e-10,,,
Upstroke_AP1_time_1.5e-10,,,
Upstroke_APp_time_1.5e-10,,,
Upstroke_AP1_amp_1.5e-10,,,
Upstroke_APp_amp_1.5e-10,,,
Upstroke_AP1_value_1.5e-10,,,
Upstroke_APp_value_1.5e-10,,,
Downstroke_AP1_time_1.5e-10,,,
Downstroke_APp_time_1.5e-10,,,
Downstroke_AP1_amp_1.5e-10,,,
Downstroke_APp_amp_1.5e-10,,,
Downstroke_AP1_value_1.5e-10,,,
Downstroke_APp_value_1.5e-10,,,
UpDn_AP1_ratio_1.5e-10,,,
UpDn_APp_ratio_1.5e-10,,,
UpThr_AP1_diff_1.5e-10,,,
UpThr_APp_diff_1.5e-10,,,
DBLO_1.5e-10,0.020310553222676282,0.015364482661192442,0.025884589749911827
DBL_1.5e-10,-0.06372424833622577,-0.06910930814206241,-0.05730691019349914
AP1_amp_3e-10,0.0941437573779092,0.07573443112796825,0.10171372495332591
APp_amp_3e-10,0.06202918942578896,0.04441258904613253,0.06906433683261337
AP1_time_3e-10,0.00910000000000207,0.006800000000001546,0.012520000000002848
APp_time_3e-10,0.4550057817631329,0.43684578176312877,0.468785781763136
APavgpratio_amp_3e-10,0.8644829743642781,0.7878484819797965,0.9220209986133459
AP1_width_3e-10,0.0009500000000002161,0.000800000000000182,0.0012900000000002935
APp_width_3e-10,0.0014000000000003183,0.00110000000000025,0.0015900000000003617
AP1_thresh_3e-10,-0.06437200439452222,-0.0668743852538981,-0.05809067520140141
APp_thresh_3e-10,-0.048928025181022836,-0.05284525406142864,-0.03852748238882496
AP1_lat_3e-10,0.00850578176303135,0.006245781763030811,0.012045781763032117
ISI1_3e-10,0.007100000000001615,0.006120000000001392,0.010000000000002274
ISIl_3e-10,0.026300000000005982,0.022840000000005193,0.029580000000006726
ISIavg_3e-10,0.018668000000004244,0.015497827956992772,0.020803188405801833
ISImedian_3e-10,0.01790000000000407,0.01544000000000351,0.021180000000004817
freq_3e-10,52.0,48.0,63.6
Adptn_id_3e-10,0.019500654022641842,0.013521622343129295,0.026106985953219742
fAHP_AP1_amp_3e-10mAHP_stimend_amp_3e-10,,,
sAHP_stimend_amp_3e-10,,,
AHP_AP1_amp_3e-10,,,
AHP_APp_amp_3e-10,,,
AHP_AP1_time_3e-10,,,
AHP_APp_time_3e-10,,,
Upstroke_AP1_time_3e-10,,,
Upstroke_APp_time_3e-10,,,
Upstroke_AP1_amp_3e-10,,,
Upstroke_APp_amp_3e-10,,,
Upstroke_AP1_value_3e-10,,,
Upstroke_APp_value_3e-10,,,
Downstroke_AP1_time_3e-10,,,
Downstroke_APp_time_3e-10,,,
Downstroke_AP1_amp_3e-10,,,
Downstroke_APp_amp_3e-10,,,
Downstroke_AP1_value_3e-10,,,
Downstroke_APp_value_3e-10,,,
UpDn_AP1_ratio_3e-10,,,
UpDn_APp_ratio_3e-10,,,
UpThr_AP1_diff_3e-10,,,
UpThr_APp_diff_3e-10,,,
DBLO_3e-10,0.02559638383902347,0.021007957497413736,0.03635604335198381
DBL_3e-10,-0.05810039702573888,-0.06393654870910806,-0.04891191680021952
freq300to150ratio,1.6842105263157894,1.3686868686868685,2.15
fAHP_AP1_amp_1.5e-10,0.004796210719314971,0.0019312790699659702,0.006211512403894368
fAHP_APp_amp_1.5e-10,0.004063795768223436,0.0006130041507362977,0.00800828999570352
fAHP_AP1_amp_3e-10,0.002751391296404357,-0.0011171960275405454,0.004676209554048731
fAHP_APp_amp_3e-10,0.004471523286317797,0.0026087700111845865,0.008582416958839111
